Class Name;ATFD;CCC;CBO;DAC;DIT;CHD;CHEF;CHER;CHL;CHVC;CHVL;LCOM;CLOC;CMI;MPC;NCSS;NOAC;NOAM;NOA;SIZE2;NOC;NOM;NOO;NOOM;NOPA;RFC;TCC;WOC;WMC
com.example.Application;0;0;0;0;1;3,0;90,0;0,0067;10;8;30,0;1;3;79,2493;1;1;0;1;0;15;0;1;15;0;0;2;0,0;1,0;1
com.example.CurrencyServ.ExchangeRate;1;0;2;2;1;4,8125;695,6707;0,0262;37;15;144,555;4;8;64,9254;0;7;7;7;4;24;0;7;20;0;0;7;0,1429;0,0;7
com.example.CurrencyServ.ExchangeRateRepository;N/A;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;0,0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
com.example.CurrencyServ.ForexService;1;1;3;1;1;21,9545;5584,6467;0,1049;50;34;254,3731;1;17;56,1339;11;12;0;2;1;17;0;3;16;0;0;15;1,0;1,0;4
com.example.CurrencyServ.ui.CurrencyView;1;1;1;0;5;8,9444;1967,7778;0,0523;44;32;220,0;0;14;58,5035;9;9;0;0;8;131;0;1;131;0;0;10;0,0;0,0;2
com.example.base.ui.MainErrorHandler;4;0;0;1;1;15,0;2875,3046;0,0674;38;33;191,687;1;15;58,373;14;8;0;1;1;15;0;1;14;0;0;16;0,0;1,0;1
com.example.base.ui.MainLayout;12;2;0;0;3;18,3158;7255,2016;0,1249;73;43;396,1173;2;27;50,3707;19;18;0;3;11;100;N/A;4;97;0;0;21;0,0;1,0;5
com.example.base.ui.component.ViewToolbar;12;1;2;0;3;12,1136;4411,5331;0,0897;71;35;364,1791;1;23;52,2147;10;16;0;1;9;79;N/A;2;78;0;0;8;0,0;1,0;3
com.example.examplefeature.EmailView;2;1;1;1;3;20,0;7798,4314;0,1311;71;45;389,9216;1;27;50,4937;19;22;0;1;8;156;0;2;155;0;0;18;0,0;1,0;3
com.example.examplefeature.MailService;1;0;1;2;1;10,0;1405,5416;0,0418;32;21;140,5542;1;12;61,3383;5;8;0;1;2;17;0;2;15;0;0;8;0,0;1,0;2
com.example.examplefeature.Task;1;5;3;4;1;22,2727;11941,8866;0,1742;95;50;536,1663;4;46;44,2548;11;20;5;6;5;28;0;10;23;2;0;16;0,1333;0,1667;15
com.example.examplefeature.TaskRepository;N/A;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;0,0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
com.example.examplefeature.TaskService;1;1;3;1;1;12,2778;1904,4615;0,0512;33;26;155,1145;1;16;58,2102;6;8;0;2;1;17;0;3;16;0;0;11;1,0;1,0;4
com.example.examplefeature.ui.TaskListView;12;3;3;5;5;66,6118;124880,3397;0,8328;259;151;1874,7468;2;101;33,1208;87;65;0;2;13;138;0;3;133;0;0;70;0,0;1,0;6
